"StationID","Year","Collection Date","Season","BenSampID","RepNum","SCI","SCI Score","SCI Threshold","Gradient","Target Count","Sample Comments","Collected By","Field Team","Entered By","Taxonomist","Entered Date","Family Total Taxa","Family EPT Taxa","%Ephem","%PT - Hydropsychidae","%FamilyScraper","%Chiro","Family %2 Dominant","Family HBI","%Ephem Score","%PT-H Score","Fam Richness Score","%Chironomidae Score","Fam EPT Score","Fam %Scraper Score","Fam %2Dom Score","Fam %MFBI Score","Family %5 Dominant","%ClngP-HS","Richness Score","Richness Final","HBI Score","HBI Final","EPT Score","EPT Final","EPHEM","PT-H","Pct5DOM","PctClng-HS","%Scrap","%Intoler","PctScrap","PctIntol","SeasonGradient"
"1AGUT000.79",2019,2019-04-10 11:51:00,"Spring","GUT12039R110",1,"VSCI",70.77,60,"MACS",110,"Sampled below culvert for best available habitat. Pasture along both banks.","BRETT STERN","BDS, JDL","KJW","KELLYJ HAZLEGROVE",2020-02-14 00:00:00,18,10,16.36,30.91,17.27,27.27,39.09,4.17,26.69,86.82,81.82,72.73,90.91,33.47,88.02,85.7,,,,,,,,,,,,,,,,,"Spring (MACS)"
"1AXOR000.47",2019,2019-04-03 12:50:00,"Spring","XOR12037R110",1,"VCPMI65 - Chowan",7.22,40,"Riffle",110,"Dead salamanders present. Evidence of recent high flows.","BRETT STERN","BDS, JDL","BS","BRETT STERN",2020-02-14 00:00:00,5,1,0,0,,,,6.01,,,,,,,,,,0.91,-13.33,0,39.7,39.7,10.99,10.99,0,0,,1.95,1.82,0,5.12,0,"Spring (Riffle)"
"1AXOR000.47",2019,2019-11-13 10:15:00,"Fall","XOR12218R110",1,"VCPMI65 - Chowan",22.16,40,"Riffle",110,"Highly urbanized stream. Channelized banks. Trash present in stream.","BRETT STERN","BDS","BS","BRETT STERN",2020-02-14 00:00:00,9,3,3.64,7.27,,,,5.7,,,,,,,,,,7.27,13.33,13.33,50,50,32.97,32.97,10.51,26.16,,15.61,0.91,8.18,2.56,26.14,"Fall (Riffle)"
"2-GEN001.75",2019,2019-04-22 10:40:00,"Spring","GEN12153R110",1,"VSCI",69.35,60,"MACS",110,,"MIKEJ SHAVER","whs","MSJ","MIKEJ SHAVER",2019-12-19 00:00:00,14,7,27.27,50.91,7.27,7.27,47.27,3.14,44.49,100,63.64,92.73,63.64,14.09,76.2,100,,,,,,,,,,,,,,,,,"Spring (MACS)"
"2-GEN001.75",2019,2019-10-21 10:10:00,"Fall","GEN12260R110",1,"VSCI",53.59,60,"MACS",110,,"MIKEJ SHAVER","MJS","MSJ","MIKEJ SHAVER",2020-02-13 00:00:00,13,9,28.18,9.09,19.09,45.45,64.55,5,45.97,25.54,59.09,54.55,81.82,37,51.23,73.53,,,,,,,,,,,,,,,,,"Fall (MACS)"
"2BXBC000.32",2019,2019-04-18 11:00:00,"Spring","XBC12175R110",1,"VSCI",68.9,60,"Riffle",110,,"MIKEJ SHAVER","WHS","WHS","WARRENH SMIGO",2020-01-02 00:00:00,17,9,19.09,34.55,7.27,20,45.45,3.81,31.14,97.04,77.27,80,81.82,14.09,78.82,91.04,,,,,,,,,,,,,,,,,"Spring (Riffle)"
"2BXBC000.32",2019,2019-11-14 11:00:00,"Fall","XBC12685R110",1,"VSCI",65.19,60,"Riffle",110,,"MIKEJ SHAVER","WHS MJS","WHS","WARRENH SMIGO",2020-03-10 00:00:00,16,9,17.27,20.91,24.55,13.64,52.73,4.71,28.18,58.73,72.73,86.36,81.82,47.57,68.31,77.81,,,,,,,,,,,,,,,,,"Fall (Riffle)"
"5AGRV001.59",2019,2019-04-23 11:30:00,"Spring","GRV12155R110",1,"VCPMI63 + Chowan",90.1,40,"MACS",110,"no field data collected","MIKEJ SHAVER","whs","MSJ","MIKEJ SHAVER",2020-02-14 00:00:00,16,7,39.09,13.64,,,,4.44,,,,,,,,,76.36,40,66.44,66.44,100,100,87.5,87.5,100,100,76.74,100,,,,,"Spring (MACS)"
"5AGRV001.59",2019,2019-10-01 11:15:00,"Fall","GRV12683R110",1,"VCPMI63 + Chowan",71.93,40,"MACS",110,,"MIKEJ SHAVER","WHS MJS","WHS","WARRENH SMIGO",2020-03-09 00:00:00,19,7,10,3.64,,,,5.45,,,,,,,,,79.09,20,86.58,86.58,77.82,77.82,87.5,87.5,39.37,44.35,67.89,100,,,,,"Fall (MACS)"
"8-GDY000.88",2019,2019-04-30 13:10:00,"Spring","GDY12033R110",1,"VSCI",44.01,60,"MACS",110,,"BRETT STERN","BDS/ JDL","BS","BRETT STERN",2020-02-14 00:00:00,14,8,11.82,5.45,13.64,58.18,68.18,5.45,19.28,15.32,63.64,41.82,72.73,26.43,45.98,66.92,,,,,,,,,,,,,,,,,"Spring (MACS)"
